Id,SalePrice
1461,135232.305897226
1462,175071.175315787
1463,143336.525340978
1464,175071.175315787
1465,262853.13359666
1466,183175.394759539
1467,166966.955872035
1468,183175.394759539
1469,223014.264178099
1470,103497.655922417
1471,223014.264178099
1472,183175.394759539
1473,143336.525340978
1474,175071.175315787
1475,214910.044734347
1476,302692.00301522
1477,262853.13359666
1478,302692.00301522
1479,262853.13359666
1480,302692.00301522
1481,262853.13359666
1482,262853.13359666
1483,183175.394759539
1484,223014.264178099
1485,223014.264178099
1486,223014.264178099
1487,262853.13359666
1488,262853.13359666
1489,223014.264178099
1490,183175.394759539
1491,223014.264178099
1492,143336.525340978
1493,175071.175315787
1494,262853.13359666
1495,262853.13359666
1496,223014.264178099
1497,223014.264178099
1498,223014.264178099
1499,223014.264178099
1500,183175.394759539
1501,183175.394759539
1502,223014.264178099
1503,262853.13359666
1504,262853.13359666
1505,223014.264178099
1506,175071.175315787
1507,183175.394759539
1508,183175.394759539
1509,175071.175315787
1510,143336.525340978
1511,143336.525340978
1512,135232.305897226
1513,183175.394759539
1514,135232.305897226
1515,127128.086453475
1516,175071.175315787
1517,158862.736428284
1518,143336.525340978
1519,223014.264178099
1520,143336.525340978
1521,143336.525340978
1522,183175.394759539
1523,103497.655922417
1524,127128.086453475
1525,135232.305897226
1526,143336.525340978
1527,87289.2170349142
1528,158862.736428284
1529,135232.305897226
1530,166966.955872035
1531,103497.655922417
1532,127128.086453475
1533,127128.086453475
1534,166966.955872035
1535,127128.086453475
1536,135232.305897226
1537,48132.5754165512
1538,230436.255821653
1539,230436.255821653
1540,159544.964228481
1541,166966.955872035
1542,135232.305897226
1543,206805.825290596
1544,87289.2170349142
1545,166966.955872035
1546,175071.175315787
1547,135232.305897226
1548,166966.955872035
1549,127128.086453475
1550,143336.525340978
1551,183175.394759539
1552,103497.655922417
1553,158862.736428284
1554,158862.736428284
1555,143336.525340978
1556,159544.964228481
1557,151440.74478473
1558,183175.394759539
1559,135914.533697424
1560,127128.086453475
1561,119706.094809921
1562,127128.086453475
1563,143336.525340978
1564,143336.525340978
1565,143336.525340978
1566,206805.825290596
1567,111601.875366169
1568,183175.394759539
1569,71763.0059476085
1570,166966.955872035
1571,95393.4364786658
1572,127128.086453475
1573,223014.264178099
1574,159544.964228481
1575,223014.264178099
1576,166966.955872035
1577,223014.264178099
1578,158862.736428284
1579,143336.525340978
1580,223014.264178099
1581,119023.867009723
1582,135232.305897226
1583,262853.13359666
1584,223014.264178099
1585,183175.394759539
1586,55554.5670601053
1587,135232.305897226
1588,135232.305897226
1589,103497.655922417
1590,175071.175315787
1591,103497.655922417
1592,135232.305897226
1593,175071.175315787
1594,95393.4364786658
1595,167649.183672233
1596,214910.044734347
1597,135232.305897226
1598,214910.044734347
1599,254748.914152908
1600,262853.13359666
1601,23819.9170852963
1602,183175.394759539
1603,87289.2170349142
1604,262853.13359666
1605,262853.13359666
1606,166966.955872035
1607,183175.394759539
1608,223014.264178099
1609,223014.264178099
1610,143336.525340978
